City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,shamgarh,24.1833,75.6333,22.96,36,10,3.58,IN,2023-03-04 20:08:43
129,agadez,19.75,10.25,27.46,7,78,3.14,NE,2023-03-04 20:08:43
130,klaksvik,62.2266,-6.589,2.51,95,100,5.85,FO,2023-03-04 20:08:43
131,mana,5.6592,-53.7767,26.75,78,61,5.93,GF,2023-03-04 20:08:43
132,gorontalo,0.5412,123.0595,23.1,94,95,1.83,ID,2023-03-04 20:08:44
133,kantunilkin,21.0917,-87.45,33.34,39,13,3.84,MX,2023-03-04 20:08:44
134,nikolskoye,59.7035,30.7861,-0.06,96,99,2.67,RU,2023-03-04 20:08:44
135,cidreira,-30.1811,-50.2056,24.41,86,87,2.97,BR,2023-03-04 20:08:44
136,victoria,22.2855,114.1577,18.03,78,0,4.92,HK,2023-03-04 20:05:46
137,podborany,50.2294,13.4119,2.79,84,100,2.6,CZ,2023-03-04 20:08:45
138,volax,41.3167,24.0,4.21,87,97,0.47,GR,2023-03-04 20:08:45
139,kodiak,57.79,-152.4072,0.73,40,0,4.12,US,2023-03-04 20:08:45
140,inhambane,-23.865,35.3833,24.66,90,24,5.86,MZ,2023-03-04 20:08:46
141,lovozero,68.005,35.0117,-10.15,92,100,2.05,RU,2023-03-04 20:08:46
142,zhangye,38.9342,100.4517,3.6,32,3,1.39,CN,2023-03-04 20:08:46
143,bulgan,48.8125,103.5347,-1.5,49,18,2.5,MN,2023-03-04 20:08:46
144,carnarvon,-24.8667,113.6333,25.31,68,0,9.95,AU,2023-03-04 20:08:47
145,broome,42.2506,-75.833,2.7,83,100,6.17,US,2023-03-04 20:08:47
146,batemans bay,-35.7167,150.1833,19.5,94,19,2.23,AU,2023-03-04 20:08:47
147,basoda,23.85,77.9333,23.04,27,16,2.79,IN,2023-03-04 20:08:47
148,sechura,-5.5569,-80.8222,29.22,55,13,6.95,PE,2023-03-04 20:08:47
149,dunmore town,25.5,-76.65,25.35,74,43,4.08,BS,2023-03-04 20:03:53
150,qaqortoq,60.7167,-46.0333,-0.09,98,83,2.81,GL,2023-03-04 20:08:48
151,talnakh,69.4865,88.3972,-24.89,99,100,1.21,RU,2023-03-04 20:08:48
152,zarubino,42.63,131.0922,-0.23,80,4,2.06,RU,2023-03-04 20:08:48
153,crotone,39.0851,17.1178,8.44,80,51,2.21,IT,2023-03-04 20:08:48
154,maningrida,-12.0667,134.2667,25.16,84,99,5.4,AU,2023-03-04 20:08:49
155,zaysan,47.4667,84.8667,-3.99,97,99,0.41,KZ,2023-03-04 20:08:49
156,saint augustine,29.8947,-81.3145,29.05,100,75,2.57,US,2023-03-04 20:08:49
157,tocopilla,-22.092,-70.1979,23.8,71,100,2.38,CL,2023-03-04 20:08:49
158,mitsamiouli,-11.3847,43.2844,28.08,77,100,6.18,KM,2023-03-04 20:08:49
159,kaeo,-35.1,173.7833,18.51,88,12,3.17,NZ,2023-03-04 20:08:50
160,karasjok,69.4719,25.5112,-6.08,95,100,2.97,NO,2023-03-04 20:08:50
